task_id,year,status,reason,minimum_successful_cost_usd,calibration_label
humaneval:134,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:134,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:134,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:62,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:117,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:87,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:37,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:35,2026,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:66,2024,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
humaneval:66,2025,UNASSESSED_PENDING_S1_3,MODEL_AND_HISTORICAL_SNAPSHOT_EVIDENCE_NOT_YET_POPULATED,,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
